64
0 19.2698 42 64.7302 84 96.8756 101.397 96.8756 84 96.8756 101.397 96.8756 84 64.7302 42 19.2698 320 339.27 362 384.73 404 416.876 421.397 416.876 404 384.73 362 339.27 320 307.124 302.603 307.124 320 332.876 337.397 332.876 320 300.73 278 255.27 236 255.27 278 300.73 320 332.876 337.397 332.876 640 652.876 657.397 652.876 640 620.73 598 575.27 556 543.124 538.603 543.124 556 575.27 598 620.73 
19.2698 0 22.7302 45.4605 64.7302 77.6059 82.1272 77.6059 96.8756 109.751 114.273 109.751 96.8756 77.6059 54.8756 32.1454 307.124 320 342.73 365.46 384.73 397.606 402.127 397.606 384.73 365.46 342.73 320 300.73 287.855 283.333 287.855 339.27 320 324.521 320 307.124 287.855 265.124 242.394 255.27 274.54 297.27 320 339.27 352.145 356.667 352.145 627.124 640 644.521 640 627.124 607.855 585.124 562.394 543.124 530.249 525.727 530.249 543.124 562.394 585.124 607.855 
42 22.7302 0 22.7302 42 54.8756 59.397 82.1272 101.397 114.273 118.794 114.273 101.397 82.1272 59.397 54.8756 302.603 315.479 320 342.73 362 374.876 379.397 374.876 362 342.73 320 297.27 278 265.124 260.603 283.333 362 342.73 320 315.479 302.603 283.333 260.603 265.124 278 297.27 320 342.73 362 374.876 379.397 374.876 622.603 635.479 640 635.479 622.603 603.333 580.603 557.873 538.603 525.727 521.206 525.727 538.603 557.873 580.603 603.333 
64.7302 45.4605 22.7302 0 19.2698 32.1454 54.8756 77.6059 96.8756 109.751 114.273 109.751 96.8756 77.6059 82.1272 77.6059 307.124 320 324.521 320 339.27 352.145 356.667 352.145 339.27 320 297.27 274.54 255.27 242.394 265.124 287.855 384.73 365.46 342.73 320 307.124 287.855 283.333 287.855 300.73 320 342.73 365.46 384.73 397.606 402.127 397.606 627.124 640 644.521 640 627.124 607.855 585.124 562.394 543.124 530.249 525.727 530.249 543.124 562.394 585.124 607.855 
84 64.7302 42 19.2698 0 19.2698 42 64.7302 84 96.8756 101.397 96.8756 84 96.8756 101.397 96.8756 320 332.876 337.397 332.876 320 332.876 337.397 332.876 320 300.73 278 255.27 236 255.27 278 300.73 404 384.73 362 339.27 320 307.124 302.603 307.124 320 339.27 362 384.73 404 416.876 421.397 416.876 640 652.876 657.397 652.876 640 620.73 598 575.27 556 543.124 538.603 543.124 556 575.27 598 620.73 
96.8756 77.6059 54.8756 32.1454 19.2698 0 22.7302 45.4605 64.7302 77.6059 82.1272 77.6059 96.8756 109.751 114.273 109.751 339.27 352.145 356.667 352.145 339.27 320 324.521 320 307.124 287.855 265.124 242.394 255.27 274.54 297.27 320 416.876 397.606 374.876 352.145 339.27 320 315.479 320 332.876 352.145 374.876 397.606 416.876 429.751 434.273 429.751 659.27 672.145 676.667 672.145 659.27 640 617.27 594.54 575.27 562.394 557.873 562.394 575.27 594.54 617.27 640 
101.397 82.1272 59.397 54.8756 42 22.7302 0 22.7302 42 54.8756 59.397 82.1272 101.397 114.273 118.794 114.273 362 374.876 379.397 374.876 362 342.73 320 315.479 302.603 283.333 260.603 265.124 278 297.27 320 342.73 421.397 402.127 379.397 374.876 362 342.73 320 324.521 337.397 356.667 379.397 402.127 421.397 434.273 438.794 434.273 682 694.876 699.397 694.876 682 662.73 640 617.27 598 585.124 580.603 585.124 598 617.27 640 662.73 
96.8756 77.6059 82.1272 77.6059 64.7302 45.4605 22.7302 0 19.2698 32.1454 54.8756 77.6059 96.8756 109.751 114.273 109.751 384.73 397.606 402.127 397.606 384.73 365.46 342.73 320 307.124 287.855 283.333 287.855 300.73 320 342.73 365.46 416.876 397.606 402.127 397.606 384.73 365.46 342.73 320 332.876 352.145 374.876 397.606 416.876 429.751 434.273 429.751 704.73 717.606 722.127 717.606 704.73 685.46 662.73 640 620.73 607.855 603.333 607.855 620.73 640 662.73 685.46 
84 96.8756 101.397 96.8756 84 64.7302 42 19.2698 0 19.2698 42 64.7302 84 96.8756 101.397 96.8756 404 416.876 421.397 416.876 404 384.73 362 339.27 320 307.124 302.603 307.124 320 339.27 362 384.73 404 416.876 421.397 416.876 404 384.73 362 339.27 320 339.27 362 384.73 404 416.876 421.397 416.876 724 736.876 741.397 736.876 724 704.73 682 659.27 640 627.124 622.603 627.124 640 659.27 682 704.73 
96.8756 109.751 114.273 109.751 96.8756 77.6059 54.8756 32.1454 19.2698 0 22.7302 45.4605 64.7302 77.6059 82.1272 77.6059 416.876 429.751 434.273 429.751 416.876 397.606 374.876 352.145 339.27 320 315.479 320 332.876 352.145 374.876 397.606 416.876 429.751 434.273 429.751 416.876 397.606 374.876 352.145 332.876 320 342.73 365.46 384.73 397.606 402.127 397.606 736.876 749.751 754.273 749.751 736.876 717.606 694.876 672.145 652.876 640 635.479 640 652.876 672.145 694.876 717.606 
101.397 114.273 118.794 114.273 101.397 82.1272 59.397 54.8756 42 22.7302 0 22.7302 42 54.8756 59.397 82.1272 421.397 434.273 438.794 434.273 421.397 402.127 379.397 374.876 362 342.73 320 324.521 337.397 356.667 379.397 402.127 421.397 434.273 438.794 434.273 421.397 402.127 379.397 356.667 337.397 324.521 320 342.73 362 374.876 379.397 402.127 741.397 754.273 758.794 754.273 741.397 722.127 699.397 676.667 657.397 644.521 640 644.521 657.397 676.667 699.397 722.127 
96.8756 109.751 114.273 109.751 96.8756 77.6059 82.1272 77.6059 64.7302 45.4605 22.7302 0 19.2698 32.1454 54.8756 77.6059 416.876 429.751 434.273 429.751 416.876 397.606 402.127 397.606 384.73 365.46 342.73 320 332.876 352.145 374.876 397.606 416.876 429.751 434.273 429.751 416.876 397.606 374.876 352.145 332.876 320 315.479 320 339.27 352.145 374.876 397.606 736.876 749.751 754.273 749.751 736.876 717.606 694.876 672.145 652.876 640 635.479 640 652.876 672.145 694.876 717.606 
84 96.8756 101.397 96.8756 84 96.8756 101.397 96.8756 84 64.7302 42 19.2698 0 19.2698 42 64.7302 404 416.876 421.397 416.876 404 416.876 421.397 416.876 404 384.73 362 339.27 320 339.27 362 384.73 404 416.876 421.397 416.876 404 384.73 362 339.27 320 307.124 302.603 307.124 320 339.27 362 384.73 724 736.876 741.397 736.876 724 704.73 682 659.27 640 627.124 622.603 627.124 640 659.27 682 704.73 
64.7302 77.6059 82.1272 77.6059 96.8756 109.751 114.273 109.751 96.8756 77.6059 54.8756 32.1454 19.2698 0 22.7302 45.4605 384.73 397.606 402.127 397.606 416.876 429.751 434.273 429.751 416.876 397.606 374.876 352.145 332.876 320 342.73 365.46 384.73 397.606 402.127 397.606 384.73 365.46 342.73 320 300.73 287.855 283.333 287.855 307.124 320 342.73 365.46 704.73 717.606 722.127 717.606 704.73 685.46 662.73 640 620.73 607.855 603.333 607.855 620.73 640 662.73 685.46 
42 54.8756 59.397 82.1272 101.397 114.273 118.794 114.273 101.397 82.1272 59.397 54.8756 42 22.7302 0 22.7302 362 374.876 379.397 402.127 421.397 434.273 438.794 434.273 421.397 402.127 379.397 356.667 337.397 324.521 320 342.73 362 374.876 379.397 374.876 362 342.73 320 297.27 278 265.124 260.603 283.333 302.603 315.479 320 342.73 682 694.876 699.397 694.876 682 662.73 640 617.27 598 585.124 580.603 585.124 598 617.27 640 662.73 
19.2698 32.1454 54.8756 77.6059 96.8756 109.751 114.273 109.751 96.8756 77.6059 82.1272 77.6059 64.7302 45.4605 22.7302 0 339.27 352.145 374.876 397.606 416.876 429.751 434.273 429.751 416.876 397.606 374.876 352.145 332.876 320 315.479 320 339.27 352.145 356.667 352.145 339.27 320 297.27 274.54 255.27 242.394 265.124 287.855 307.124 320 324.521 320 659.27 672.145 676.667 672.145 659.27 640 617.27 594.54 575.27 562.394 557.873 562.394 575.27 594.54 617.27 640 
320 307.124 302.603 307.124 320 339.27 362 384.73 404 416.876 421.397 416.876 404 384.73 362 339.27 0 19.2698 42 64.7302 84 96.8756 101.397 96.8756 84 96.8756 101.397 96.8756 84 64.7302 42 19.2698 640 620.73 598 575.27 556 543.124 538.603 543.124 556 575.27 598 620.73 640 652.876 657.397 652.876 320 332.876 337.397 332.876 320 300.73 278 255.27 236 255.27 278 300.73 320 332.876 337.397 332.876 
