53
0	5000000	28361400	28707918	28357689	28537853	16691149	21423846	4305974	6018206	16301834	18841134	34609672	34318580	34214085	9356556	9200105	17360682	23436102	3818563	9850526	17253622	11294192	18778315	19054571	18466713	24601067	26096182	30048197	25864625	18573623	26518722	19459256	36938098	29582660	35607931	28149197	8161763	7368299	7407595	8267788	15405315	14961279	14941862	15348674	11880909	15810630	13619671	16184265	24773179	26464153	31260764	32410097
5000000	0	29264655	30019919	28655847	28397325	11876862	17928932	4630703	3704160	11304132	13842757	35707512	35065109	34597697	5288019	5005989	21150605	26366753	7455429	14636764	20209217	15436443	18611370	20809486	15501273	22460688	24464625	27280053	25106808	17502928	28523440	22113494	38415261	31407689	35045038	27433689	7393063	8230117	9680675	11515178	17365676	16207494	15385130	14954089	9052901	13812133	9186100	12681460	21861573	23228633	29468243	30274682
28361400	29264655	0	2500000	3507063	6006288	30927115	23731770	32303880	32786582	33690548	35185700	6488756	5981754	6508611	26679387	33751203	18361363	12439455	24789636	25607650	14499040	21687570	11330123	9879147	21206235	16841622	14172021	21539622	9603392	14088399	6613725	12223689	9703170	5926160	11415068	9220279	21910780	21307693	20996584	20990438	13390619	13400251	13882651	14791635	22755143	18555203	27706848	23701971	20997529	23260755	16090910	18590909
28707918	30019919	2500000	0	6006288	8505968	32519675	25772848	32777510	33443750	35161225	36769446	5981718	6492948	7838304	27818271	34658479	17217368	10678864	25025997	25088369	13679735	21148609	12797194	9741358	23072601	19138462	16564059	23991190	11992253	15813665	4565618	11248203	8412634	3426408	13507934	11712132	22766999	21899128	21300482	20994106	13396368	13871580	14774370	16032669	24076390	20153698	29163341	25389258	23260755	25568129	18590909	21090907
28357689	28655847	3507063	6006288	0	2500000	29008010	21115220	32073095	32284614	31945305	33251715	8406210	6821685	5942189	25521938	32870431	20466471	15321060	24994820	26821372	16330506	22990343	10100812	11165640	18927764	13800512	10947280	18153040	6455899	12234313	9880322	14319215	12092846	9431157	8756869	5756253	21267344	21072301	21182233	21592484	14254951	13625538	13454000	13757477	21369176	16792786	26036019	21698970	17990629	20156965	12586070	15086009
28537853	28397325	6006288	8505968	2500000	0	27756942	19360675	32060645	32074878	30810222	31964728	10344727	8377612	6801368	24886318	32379388	22127005	17477493	25357297	27852064	17882909	24117812	9831374	12545957	17482727	11740513	8737679	15746014	4485045	11318808	12269608	16061208	14129474	11931128	7385679	3316617	21073014	21178146	21583767	22273468	15266815	14241744	13619182	13455117	20610475	15816057	25001386	20446034	15922382	17990629	10086162	12586070
16691149	11876862	30927115	32519675	29008010	27756942	0	10160000	15917583	13728774	3386095	4258708	37232514	35827755	34552846	7797908	10759879	29641091	32689157	17856713	25475800	27225563	25079343	19723977	25439921	10401137	17734312	20726397	20093885	23459463	16858763	32689137	28317319	40630254	34919895	32711700	25541705	13030976	15493591	17977753	20475620	23029276	20839773	18738941	16760158	9076398	12378530	3883174	7317174	15050520	15227996	24620157	24455344
21423846	17928932	23731770	25772848	21115220	19360675	10160000	0	22557766	21070420	13545889	13789926	29519864	27727069	26058808	12645313	19227844	28388791	29001237	20707426	27549077	24846741	25689319	13898370	21244270	3705703	8075643	11259273	10047483	14876653	10489265	27180395	25038034	33187337	28719666	23215503	16616901	14224008	16509616	18860425	21254813	20199634	17662780	15126982	12592877	9614858	7854457	9536763	5273695	4892640	5414021	14577425	14297308
4305974	4630703	32303880	32777510	32073095	32060645	15917583	22557766	0	2540000	14673377	17126609	38630657	38223519	37982237	9913324	6248865	21574095	27742055	8113064	13488907	21558979	15438212	22231113	23202400	20098897	26916187	28771657	31874979	29063733	21549449	30742238	23752531	41067947	33778166	38944090	31381081	11072951	11023315	11546423	12570979	19578544	18936995	18622657	18652081	13580820	18171837	13649853	17312149	26466901	27858371	33844099	34749864
6018206	3704160	32786582	33443750	32284614	32074878	13728774	21070420	2540000	0	12255547	14673377	39198484	38630657	38223519	8543051	3709183	23335895	29133212	9572262	15699255	22935022	17307920	22271705	24059663	18914867	26043957	28122576	30665547	28810683	21206924	31719353	25004297	41810271	34676894	38748114	31137541	11023315	11546423	12570979	13987221	20516633	19578544	18936995	18622657	12623072	17467654	11829264	15916139	25228891	26445963	33092304	33830912
