50
110
    2.0     48
    4.5     35
    5.0     24
    5.5     10
    7.5      8
    3.0     48
    4.7     35
    5.3     24
    5.6     10
    7.3      8
    2.1     48
    4.1     35
    5.1     24
    5.3     10
    7.1      8
    2.4     48
    4.4     35
    5.9     24
    5.8     10
   17.4      8
   12.0     48
   14.5     35
   15.0     24
   15.5     10
   17.5      8
   22.0     48
   24.5     35
   25.0     24
   25.5     10
   27.5      8
   32.0     48
   34.5     35
   35.0     24
   35.5     10
   42.0     48
   44.5     35
   45.0     24
   45.5     10
   47.5      8
   52.0     48
   54.5     35
   55.0     24
   55.5     10
   57.5      8
   62.0     48
   64.5     35
   65.0     24
   65.5     10
   67.5      8
    7.7      8
