48
0 12 24 36 48 60 72 60 48 36 24 12 240 252 264 276 288 300 312 300 288 276 264 252 240 252 264 276 264 252 240 228 216 204 216 228 480 492 504 516 504 492 480 468 456 444 456 468 
12 0 12 24 36 48 60 48 36 48 36 24 228 240 252 264 276 288 300 288 276 264 252 240 252 240 252 264 252 240 228 216 204 216 228 240 468 480 492 504 492 480 468 456 444 432 444 456 
24 12 0 12 24 36 48 36 48 60 48 36 216 228 240 252 264 276 288 276 264 252 240 228 264 252 240 252 240 228 216 204 216 228 240 252 456 468 480 492 480 468 456 444 432 420 432 444 
36 24 12 0 12 24 36 48 60 72 60 48 204 216 228 240 252 264 276 264 252 240 228 216 276 264 252 240 228 216 204 216 228 240 252 264 444 456 468 480 468 456 444 432 420 408 420 432 
48 36 24 12 0 12 24 36 48 60 48 36 216 228 240 252 240 252 264 252 240 228 216 204 288 276 264 252 240 228 216 228 240 252 264 276 456 468 480 492 480 468 456 444 432 420 432 444 
60 48 36 24 12 0 12 24 36 48 36 48 228 240 252 264 252 240 252 240 228 216 204 216 300 288 276 264 252 240 228 240 252 264 276 288 468 480 492 504 492 480 468 456 444 432 444 456 
72 60 48 36 24 12 0 12 24 36 48 60 240 252 264 276 264 252 240 228 216 204 216 228 312 300 288 276 264 252 240 252 264 276 288 300 480 492 504 516 504 492 480 468 456 444 456 468 
60 48 36 48 36 24 12 0 12 24 36 48 252 264 276 288 276 264 252 240 228 216 228 240 300 288 276 288 276 264 252 240 252 264 276 288 492 504 516 528 516 504 492 480 468 456 468 480 
48 36 48 60 48 36 24 12 0 12 24 36 264 276 288 300 288 276 264 252 240 228 240 252 288 276 288 300 288 276 264 252 240 252 264 276 504 516 528 540 528 516 504 492 480 468 480 492 
36 48 60 72 60 48 36 24 12 0 12 24 276 288 300 312 300 288 276 264 252 240 252 264 276 288 300 312 300 288 276 264 252 240 252 264 516 528 540 552 540 528 516 504 492 480 492 504 
24 36 48 60 48 36 48 36 24 12 0 12 264 276 288 300 288 276 288 276 264 252 240 252 264 276 288 300 288 276 264 252 240 228 240 252 504 516 528 540 528 516 504 492 480 468 480 492 
12 24 36 48 36 48 60 48 36 24 12 0 252 264 276 288 276 288 300 288 276 264 252 240 252 264 276 288 276 264 252 240 228 216 228 240 492 504 516 528 516 504 492 480 468 456 468 480 
240 228 216 204 216 228 240 252 264 276 264 252 0 12 24 36 48 60 72 60 48 36 24 12 480 468 456 444 432 420 408 420 432 444 456 468 240 252 264 276 264 252 240 228 216 204 216 228 
252 240 228 216 228 240 252 264 276 288 276 264 12 0 12 24 36 48 60 48 36 48 36 24 492 480 468 456 444 432 420 432 444 456 468 480 252 240 252 264 252 240 228 216 204 216 228 240 
264 252 240 228 240 252 264 276 288 300 288 276 24 12 0 12 24 36 48 36 48 60 48 36 504 492 480 468 456 444 432 444 456 468 480 492 264 252 240 252 240 228 216 204 216 228 240 252 
276 264 252 240 252 264 276 288 300 312 300 288 36 24 12 0 12 24 36 48 60 72 60 48 516 504 492 480 468 456 444 456 468 480 492 504 276 264 252 240 228 216 204 216 228 240 252 264 
288 276 264 252 240 252 264 276 288 300 288 276 48 36 24 12 0 12 24 36 48 60 48 36 528 516 504 492 480 468 456 468 480 492 504 516 288 276 264 252 240 228 216 228 240 252 264 276 
300 288 276 264 252 240 252 264 276 288 276 288 60 48 36 24 12 0 12 24 36 48 36 48 540 528 516 504 492 480 468 480 492 504 516 528 300 288 276 264 252 240 228 240 252 264 276 288 
312 300 288 276 264 252 240 252 264 276 288 300 72 60 48 36 24 12 0 12 24 36 48 60 552 540 528 516 504 492 480 492 504 516 528 540 312 300 288 276 264 252 240 252 264 276 288 300 
300 288 276 264 252 240 228 240 252 264 276 288 60 48 36 48 36 24 12 0 12 24 36 48 540 528 516 504 492 480 468 480 492 504 516 528 300 288 276 288 276 264 252 240 252 264 276 288 
288 276 264 252 240 228 216 228 240 252 264 276 48 36 48 60 48 36 24 12 0 12 24 36 528 516 504 492 480 468 456 468 480 492 504 516 288 276 288 300 288 276 264 252 240 252 264 276 
276 264 252 240 228 216 204 216 228 240 252 264 36 48 60 72 60 48 36 24 12 0 12 24 516 504 492 480 468 456 444 456 468 480 492 504 276 288 300 312 300 288 276 264 252 240 252 264 
264 252 240 228 216 204 216 228 240 252 240 252 24 36 48 60 48 36 48 36 24 12 0 12 504 492 480 468 456 444 432 444 456 468 480 492 264 276 288 300 288 276 264 252 240 228 240 252 
252 240 228 216 204 216 228 240 252 264 252 240 12 24 36 48 36 48 60 48 36 24 12 0 492 480 468 456 444 432 420 432 444 456 468 480 252 264 276 288 276 264 252 240 228 216 228 240 
240 252 264 276 288 300 312 300 288 276 264 252 480 492 504 516 528 540 552 540 528 516 504 492 0 12 24 36 48 60 72 60 48 36 24 12 240 252 264 276 288 300 312 300 288 276 264 252 
252 240 252 264 276 288 300 288 276 288 276 264 468 480 492 504 516 528 540 528 516 504 492 480 12 0 12 24 36 48 60 48 36 48 36 24 228 240 252 264 276 288 300 288 276 264 252 240 
264 252 240 252 264 276 288 276 288 300 288 276 456 468 480 492 504 516 528 516 504 492 480 468 24 12 0 12 24 36 48 36 48 60 48 36 216 228 240 252 264 276 288 276 264 252 240 228 
276 264 252 240 252 264 276 288 300 312 300 288 444 456 468 480 492 504 516 504 492 480 468 456 36 24 12 0 12 24 36 48 60 72 60 48 204 216 228 240 252 264 276 264 252 240 228 216 
264 252 240 228 240 252 264 276 288 300 288 276 432 444 456 468 480 492 504 492 480 468 456 444 48 36 24 12 0 12 24 36 48 60 48 36 216 228 240 252 240 252 264 252 240 228 216 204 
252 240 228 216 228 240 252 264 276 288 276 264 420 432 444 456 468 480 492 480 468 456 444 432 60 48 36 24 12 0 12 24 36 48 36 48 228 240 252 264 252 240 252 240 228 216 204 216 
240 228 216 204 216 228 240 252 264 276 264 252 408 420 432 444 456 468 480 468 456 444 432 420 72 60 48 36 24 12 0 12 24 36 48 60 240 252 264 276 264 252 240 228 216 204 216 228 
228 216 204 216 228 240 252 240 252 264 252 240 420 432 444 456 468 480 492 480 468 456 444 432 60 48 36 48 36 24 12 0 12 24 36 48 252 264 276 288 276 264 252 240 228 216 228 240 
216 204 216 228 240 252 264 252 240 252 240 228 432 444 456 468 480 492 504 492 480 468 456 444 48 36 48 60 48 36 24 12 0 12 24 36 264 276 288 300 288 276 264 252 240 228 240 252 
204 216 228 240 252 264 276 264 252 240 228 216 444 456 468 480 492 504 516 504 492 480 468 456 36 48 60 72 60 48 36 24 12 0 12 24 276 288 300 312 300 288 276 264 252 240 252 264 
216 228 240 252 264 276 288 276 264 252 240 228 456 468 480 492 504 516 528 516 504 492 480 468 24 36 48 60 48 36 48 36 24 12 0 12 264 276 288 300 288 276 288 276 264 252 240 252 
228 240 252 264 276 288 300 288 276 264 252 240 468 480 492 504 516 528 540 528 516 504 492 480 12 24 36 48 36 48 60 48 36 24 12 0 252 264 276 288 276 288 300 288 276 264 252 240 
480 468 456 444 456 468 480 492 504 516 504 492 240 252 264 276 288 300 312 300 288 276 264 252 240 228 216 204 216 228 240 252 264 276 264 252 0 12 24 36 48 60 72 60 48 36 24 12 
