35
0 205.006 294.633 263.973 283.376 74.719 411.044 209.039 251.132 91.8929 143.684 160.113 308.129 179.291 174.575 208.664 56.8576 99.4005 275.466 188.233 157.882 120.391 295.874 256.844 214.538 145.65 194.59 186.966 109.773 74.7362 208.644 134.397 103.741 105.838 188.154 
205.006 0 106.431 215.449 234.852 279.725 206.038 95.2571 46.1263 226.443 192.209 208.637 103.123 227.816 152.57 12.7487 247.82 239.615 226.942 16.7732 145.374 325.397 90.8679 144.452 251.619 194.174 146.065 27.6801 191.693 130.27 276.52 182.921 101.265 310.844 236.679 
294.633 106.431 0 109.018 310.142 369.352 116.41 85.5942 71.0694 316.071 298.64 315.068 51.7223 334.247 259.001 119.18 337.448 329.242 120.511 112.377 251.805 415.024 124.338 38.0203 341.247 300.605 136.821 134.111 281.32 219.897 366.147 289.352 203.104 400.471 343.11 
263.973 215.449 109.018 0 208.881 268.091 217.672 120.192 180.087 355.866 407.658 424.086 160.74 443.265 368.019 228.198 236.186 227.98 11.4929 221.395 360.823 333.505 233.356 70.9973 239.985 409.623 69.3838 243.129 373.747 265.665 264.886 398.37 312.121 303.191 452.127 
283.376 234.852 310.142 208.881 0 287.097 426.553 224.548 266.641 375.269 427.061 443.489 323.638 462.668 387.422 247.601 226.519 183.976 215.471 240.798 380.226 352.908 311.383 272.353 68.8383 429.026 173.321 262.532 393.15 285.068 74.7327 417.773 331.524 322.594 471.531 
74.719 279.725 369.352 268.091 287.097 0 485.763 283.758 325.851 88.1728 139.964 225.949 382.848 175.571 249.294 283.383 60.5777 103.121 279.186 262.952 232.601 65.8113 370.593 331.563 218.258 141.929 232.531 261.685 106.053 149.455 212.364 193.854 178.46 35.4971 184.434 
411.044 206.038 116.41 217.672 426.553 485.763 0 202.005 159.911 432.481 376.597 259.813 102.915 418.835 236.468 202.38 453.858 445.652 211.082 222.811 253.162 531.435 115.17 154.199 457.657 395.648 253.232 224.077 397.73 336.307 482.558 291.909 307.303 516.882 411.083 
209.039 95.2571 85.5942 120.192 224.548 283.758 202.005 0 59.8951 235.674 287.466 303.894 99.0897 323.073 247.827 108.006 251.853 243.648 131.685 101.203 240.631 329.43 113.164 49.1946 255.653 289.431 51.2273 122.937 253.555 145.473 280.553 278.178 191.929 314.877 331.936 
251.132 46.1263 71.0694 180.087 266.641 325.851 159.911 59.8951 0 272.57 227.571 243.999 56.9966 263.178 187.932 48.1107 293.947 285.741 191.58 62.8995 180.736 371.523 53.2689 109.09 297.746 235.737 110.703 64.1659 237.819 176.396 322.646 218.283 147.391 356.97 272.04 
91.8929 226.443 316.071 355.866 375.269 88.1728 432.481 235.674 272.57 0 55.8838 172.668 329.566 87.3984 196.013 230.101 148.751 191.293 367.359 209.67 179.319 98.9538 317.311 284.869 306.431 53.7567 286.483 208.404 34.7507 96.1737 300.537 140.572 125.178 84.4005 96.2612 
