25
0 12.5 25 12.5 125 137.5 150 137.5 125 137.5 125 112.5 250 262.5 250 237.5 124 124 124 124 124 124 124 124 124 
12.5 0 12.5 25 112.5 125 137.5 125 137.5 125 112.5 125 237.5 250 237.5 225 136.5 136.5 136.5 136.5 136.5 136.5 136.5 136.5 136.5 
25 12.5 0 12.5 125 137.5 125 112.5 150 137.5 125 137.5 250 262.5 250 237.5 124 124 124 124 124 124 124 124 124 
12.5 25 12.5 0 137.5 150 137.5 125 137.5 150 137.5 125 262.5 275 262.5 250 111.5 111.5 111.5 111.5 111.5 111.5 111.5 111.5 111.5 
125 112.5 125 137.5 0 12.5 25 12.5 250 237.5 225 237.5 125 137.5 125 112.5 249 249 249 249 249 249 249 249 249 
137.5 125 137.5 150 12.5 0 12.5 25 262.5 250 237.5 250 137.5 125 112.5 125 261.5 261.5 261.5 261.5 261.5 261.5 261.5 261.5 261.5 
150 137.5 125 137.5 25 12.5 0 12.5 275 262.5 250 262.5 150 137.5 125 137.5 249 249 249 249 249 249 249 249 249 
137.5 125 112.5 125 12.5 25 12.5 0 262.5 250 237.5 250 137.5 150 137.5 125 236.5 236.5 236.5 236.5 236.5 236.5 236.5 236.5 236.5 
125 137.5 150 137.5 250 262.5 275 262.5 0 12.5 25 12.5 125 137.5 150 137.5 249 249 249 249 249 249 249 249 249 
137.5 125 137.5 150 237.5 250 262.5 250 12.5 0 12.5 25 112.5 125 137.5 125 261.5 261.5 261.5 261.5 261.5 261.5 261.5 261.5 261.5 
125 112.5 125 137.5 225 237.5 250 237.5 25 12.5 0 12.5 125 137.5 125 112.5 249 249 249 249 249 249 249 249 249 
112.5 125 137.5 125 237.5 250 262.5 250 12.5 25 12.5 0 137.5 150 137.5 125 236.5 236.5 236.5 236.5 236.5 236.5 236.5 236.5 236.5 
250 237.5 250 262.5 125 137.5 150 137.5 125 112.5 125 137.5 0 12.5 25 12.5 374 374 374 374 374 374 374 374 374 
262.5 250 262.5 275 137.5 125 137.5 150 137.5 125 137.5 150 12.5 0 12.5 25 386.5 386.5 386.5 386.5 386.5 386.5 386.5 386.5 386.5 
250 237.5 250 262.5 125 112.5 125 137.5 150 137.5 125 137.5 25 12.5 0 12.5 374 374 374 374 374 374 374 374 374 
237.5 225 237.5 250 112.5 125 137.5 125 137.5 125 112.5 125 12.5 25 12.5 0 361.5 361.5 361.5 361.5 361.5 361.5 361.5 361.5 361.5 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
124 136.5 124 111.5 249 261.5 249 236.5 249 261.5 249 236.5 374 386.5 374 361.5 0 0 0 0 0 0 0 0 0 
