35
0 11.6667 23.3333 35 46.6667 35 23.3333 11.6667 175 186.667 198.333 210 221.667 210 198.333 186.667 175 186.667 198.333 186.667 175 163.333 151.667 163.333 350 361.667 373.333 361.667 350 338.333 326.667 338.333 174 174 174 
11.6667 0 11.6667 23.3333 35 23.3333 35 23.3333 163.333 175 186.667 198.333 210 198.333 186.667 175 186.667 175 186.667 175 163.333 151.667 163.333 175 338.333 350 361.667 350 338.333 326.667 315 326.667 185.667 185.667 185.667 
23.3333 11.6667 0 11.6667 23.3333 35 46.6667 35 151.667 163.333 175 186.667 198.333 186.667 175 163.333 198.333 186.667 175 163.333 151.667 163.333 175 186.667 326.667 338.333 350 338.333 326.667 315 303.333 315 197.333 197.333 197.333 
35 23.3333 11.6667 0 11.6667 23.3333 35 23.3333 163.333 175 186.667 175 186.667 175 163.333 151.667 210 198.333 186.667 175 163.333 175 186.667 198.333 338.333 350 361.667 350 338.333 326.667 315 326.667 185.667 185.667 185.667 
46.6667 35 23.3333 11.6667 0 11.6667 23.3333 35 175 186.667 198.333 186.667 175 163.333 151.667 163.333 221.667 210 198.333 186.667 175 186.667 198.333 210 350 361.667 373.333 361.667 350 338.333 326.667 338.333 174 174 174 
35 23.3333 35 23.3333 11.6667 0 11.6667 23.3333 186.667 198.333 210 198.333 186.667 175 163.333 175 210 198.333 210 198.333 186.667 175 186.667 198.333 361.667 373.333 385 373.333 361.667 350 338.333 350 162.333 162.333 162.333 
23.3333 35 46.6667 35 23.3333 11.6667 0 11.6667 198.333 210 221.667 210 198.333 186.667 175 186.667 198.333 210 221.667 210 198.333 186.667 175 186.667 373.333 385 396.667 385 373.333 361.667 350 361.667 150.667 150.667 150.667 
11.6667 23.3333 35 23.3333 35 23.3333 11.6667 0 186.667 198.333 210 198.333 210 198.333 186.667 175 186.667 198.333 210 198.333 186.667 175 163.333 175 361.667 373.333 385 373.333 361.667 350 338.333 350 162.333 162.333 162.333 
175 163.333 151.667 163.333 175 186.667 198.333 186.667 0 11.6667 23.3333 35 46.6667 35 23.3333 11.6667 350 338.333 326.667 315 303.333 315 326.667 338.333 175 186.667 198.333 186.667 175 163.333 151.667 163.333 349 349 349 
186.667 175 163.333 175 186.667 198.333 210 198.333 11.6667 0 11.6667 23.3333 35 23.3333 35 23.3333 361.667 350 338.333 326.667 315 326.667 338.333 350 186.667 175 186.667 175 163.333 151.667 163.333 175 360.667 360.667 360.667 
198.333 186.667 175 186.667 198.333 210 221.667 210 23.3333 11.6667 0 11.6667 23.3333 35 46.6667 35 373.333 361.667 350 338.333 326.667 338.333 350 361.667 198.333 186.667 175 163.333 151.667 163.333 175 186.667 372.333 372.333 372.333 
210 198.333 186.667 175 186.667 198.333 210 198.333 35 23.3333 11.6667 0 11.6667 23.3333 35 23.3333 385 373.333 361.667 350 338.333 350 361.667 373.333 210 198.333 186.667 175 163.333 175 186.667 198.333 360.667 360.667 360.667 
221.667 210 198.333 186.667 175 186.667 198.333 210 46.6667 35 23.3333 11.6667 0 11.6667 23.3333 35 396.667 385 373.333 361.667 350 361.667 373.333 385 221.667 210 198.333 186.667 175 186.667 198.333 210 349 349 349 
