20
0 10 20 10 100 110 120 110 100 110 100 90 200 210 200 190 100 100 100 100 
10 0 10 20 90 100 110 100 110 100 90 100 190 200 190 180 110 110 110 110 
20 10 0 10 100 110 100 90 120 110 100 110 200 210 200 190 100 100 100 100 
10 20 10 0 110 120 110 100 110 120 110 100 210 220 210 200 90 90 90 90 
100 90 100 110 0 10 20 10 200 190 180 190 100 110 100 90 200 200 200 200 
110 100 110 120 10 0 10 20 210 200 190 200 110 100 90 100 210 210 210 210 
120 110 100 110 20 10 0 10 220 210 200 210 120 110 100 110 200 200 200 200 
110 100 90 100 10 20 10 0 210 200 190 200 110 120 110 100 190 190 190 190 
100 110 120 110 200 210 220 210 0 10 20 10 100 110 120 110 200 200 200 200 
110 100 110 120 190 200 210 200 10 0 10 20 90 100 110 100 210 210 210 210 
100 90 100 110 180 190 200 190 20 10 0 10 100 110 100 90 200 200 200 200 
90 100 110 100 190 200 210 200 10 20 10 0 110 120 110 100 190 190 190 190 
200 190 200 210 100 110 120 110 100 90 100 110 0 10 20 10 300 300 300 300 
210 200 210 220 110 100 110 120 110 100 110 120 10 0 10 20 310 310 310 310 
200 190 200 210 100 90 100 110 120 110 100 110 20 10 0 10 300 300 300 300 
190 180 190 200 90 100 110 100 110 100 90 100 10 20 10 0 290 290 290 290 
100 110 100 90 200 210 200 190 200 210 200 190 300 310 300 290 0 0 0 0 
100 110 100 90 200 210 200 190 200 210 200 190 300 310 300 290 0 0 0 0 
100 110 100 90 200 210 200 190 200 210 200 190 300 310 300 290 0 0 0 0 
100 110 100 90 200 210 200 190 200 210 200 190 300 310 300 290 0 0 0 0 
