16
0 8 16 8 80 88 96 88 80 88 80 72 160 168 160 152 
8 0 8 16 72 80 88 80 88 80 72 80 152 160 152 144 
16 8 0 8 80 88 80 72 96 88 80 88 160 168 160 152 
8 16 8 0 88 96 88 80 88 96 88 80 168 176 168 160 
80 72 80 88 0 8 16 8 160 152 144 152 80 88 80 72 
88 80 88 96 8 0 8 16 168 160 152 160 88 80 72 80 
96 88 80 88 16 8 0 8 176 168 160 168 96 88 80 88 
88 80 72 80 8 16 8 0 168 160 152 160 88 96 88 80 
80 88 96 88 160 168 176 168 0 8 16 8 80 88 96 88 
88 80 88 96 152 160 168 160 8 0 8 16 72 80 88 80 
80 72 80 88 144 152 160 152 16 8 0 8 80 88 80 72 
72 80 88 80 152 160 168 160 8 16 8 0 88 96 88 80 
160 152 160 168 80 88 96 88 80 72 80 88 0 8 16 8 
168 160 168 176 88 80 88 96 88 80 88 96 8 0 8 16 
160 152 160 168 80 72 80 88 96 88 80 88 16 8 0 8 
152 144 152 160 72 80 88 80 88 80 72 80 8 16 8 0 
